"Title","Author","Publication Year","Publication Title","Item Type","DOI","Url","Volume","Issue","Pages","Publisher","Corpus role"
"The Case for Learned Index Structures","Kraska, Tim; Beutel, Alex; Chi, Ed H.; Dean, Jeffrey; Polyzotis, Neoklis","2018","","conferencePaper","10.48550/arXiv.1712.01208","http://arxiv.org/abs/1712.01208","","","","arXiv","primary study"
"ALEX: An Updatable Adaptive Learned Index","Ding, Jialin; Minhas, Umar Farooq; Yu, Jia; Wang, Chi; Do, Jaeyoung; Li, Yinan; Zhang, Hantian; Chandramouli, Badrish; Gehrke, Johannes; Kossmann, Donald; Lomet, David; Kraska, Tim","2020","Proceedings of the 2020 ACM SIGMOD International Conference on Management of Data","conferencePaper","10.1145/3318464.3389711","https://dl.acm.org/doi/10.1145/3318464.3389711","","","969–984","Association for Computing Machinery","primary study"
"Learned Index: A Comprehensive Experimental Evaluation","Sun, Zhaoyan; Zhou, Xuanhe; Li, Guoliang","2023","Proceedings of the VLDB Endowment","journalArticle","10.14778/3594512.3594528","https://dl.acm.org/doi/10.14778/3594512.3594528","16","8","1992-2004","","primary study"
"FITing-Tree: A Data-aware Index Structure","Galakatos, Alex; Markovitch, Michael; Binnig, Carsten; Fonseca, Rodrigo; Kraska, Tim","2019","Proceedings of the 2019 International Conference on Management of Data","conferencePaper","10.1145/3299869.3319860","https://dl.acm.org/doi/10.1145/3299869.3319860","","","1189–1206","Association for Computing Machinery","primary study"
"CARMI: a cache-aware learned index with a cost-based construction algorithm","Zhang, Jiaoyi; Gao, Yihan","2022","Proc. VLDB Endow.","journalArticle","10.14778/3551793.3551823","https://dl.acm.org/doi/10.14778/3551793.3551823","15","11","2679–2691","","primary study"
"Benchmarking learned indexes","Marcus, Ryan; Kipf, Andreas; van Renen, Alexander; Stoian, Mihail; Misra, Sanchit; Kemper, Alfons; Neumann, Thomas; Kraska, Tim","2020","Proc. VLDB Endow.","journalArticle","10.14778/3421424.3421425","https://dl.acm.org/doi/10.14778/3421424.3421425","14","1","1–13","","primary study"
"SageDB: An Instance-Optimized Data Analytics System","Ding, Jialin; Marcus, Ryan; Kipf, Andreas; Nathan, Vikram; Nrusimha, Aniruddha; Vaidya, Kapil; van Renen, Alexander; Kraska, Tim","2022","Proc. VLDB Endow.","journalArticle","10.14778/3565838.3565857","https://dl.acm.org/doi/10.14778/3565838.3565857","15","13","4062–4078","","context"
"Updatable Learned Indexes Meet Disk-Resident DBMS - From Evaluations to Design Choices","Lan, Hai; Bao, Zhifeng; Culpepper, J. Shane; Borovica-Gajic, Renata","2023","Proc. ACM Manag. Data","journalArticle","10.1145/3589284","https://dl.acm.org/doi/10.1145/3589284","1","2","139:1–139:22","","primary study"
"Are updatable learned indexes ready?","Wongkham, Chaichon; Lu, Baotong; Liu, Chris; Zhong, Zhicong; Lo, Eric; Wang, Tianzheng","2022","Proc. VLDB Endow.","journalArticle","10.14778/3551793.3551848","https://dl.acm.org/doi/10.14778/3551793.3551848","15","11","3004–3017","","primary study"
"Limousine: Blending Learned and Classical Indexes to Self-Design Larger-than-Memory Cloud Storage Engines","Chatterjee, Subarna; Pekala, Mark F.; Kruglyak, Lev; Idreos, Stratos","2024","Proc. ACM Manag. Data","journalArticle","10.1145/3639302","https://dl.acm.org/doi/10.1145/3639302","2","1","47:1–47:28","","primary study"
